Generation,Solution,Fitness,Parameters,Fittest
13,"""111010100001110000110000""",0.5776209831237793,"(113.0, 650.0, 43.0, 15.0)",Population
13,"""111010100001111111000001""",0.750016987323761,"(113.0, 656.0, 19.0, 6.0)",Population
13,"""111010100001011110000001""",0.7197980284690857,"(113.0, 642.0, 19.0, 6.0)",Population
13,"""111010100001110000110000""",0.6832789778709412,"(113.0, 650.0, 43.0, 15.0)",Population
13,"""111010101011111110000001""",999.0,"(113.0, 937.0, 19.0, 6.0)",Population
13,"""111110101001001110000001""",0.6434900164604187,"(119.0, 860.0, 19.0, 6.0)",Population
13,"""111011101001110000000000""",0.6039119958877563,"(114.0, 875.0, 18.0, 6.0)",Population
13,"""111010100001110000110000""",0.5948240160942078,"(113.0, 650.0, 43.0, 15.0)",Population
13,"""111010100011110000110000""",0.8239290118217468,"(113.0, 706.0, 43.0, 15.0)",Population
13,"""111010100001101110000001""",0.7231630086898804,"(113.0, 649.0, 19.0, 6.0)",Population
13,"""111010100001110000110000""",0.7657080292701721,"(113.0, 650.0, 43.0, 15.0)",Population
13,"""111010101001111110000001""",0.4680179953575134,"(113.0, 881.0, 19.0, 6.0)",Population
13,"""111010101001111110000000""",0.9193710088729858,"(113.0, 881.0, 18.0, 6.0)",Population
13,"""111011101001110000000000""",0.8026800155639648,"(114.0, 875.0, 18.0, 6.0)",Population
13,"""111111101001110110000000""",0.42852699756622314,"(120.0, 877.0, 18.0, 6.0)",Population
13,"""111010100001110001110000""",0.5954809784889221,"(113.0, 650.0, 43.0, 15.0)",Population
13,"""111010100001110000110000""",0.6621459722518921,"(113.0, 650.0, 43.0, 15.0)",Population
13,"""111010100001111110010001""",0.7492949962615967,"(113.0, 656.0, 27.0, 9.0)",Population
14,"""111111101001110110000000""",0.42852699756622314,"(120.0, 877.0, 18.0, 6.0)",Fittest
14,"""111010100001110000110000""",0.43872201442718506,"(113.0, 650.0, 43.0, 15.0)",Elite
14,"""111011101001110000000000""",0.4429900050163269,"(114.0, 875.0, 18.0, 6.0)",Elite
